title,source_country,date,url,clean_text,headline_length_words,topic_category,month
"Filistin topraklarını gasbeden Siyonist yerleşimciler , bir Filistinlinin 150 büyükbaş hayvanını çaldı",Turkey,2026-03-06 15:00:00,https://www.haksozhaber.net/filistin-topraklarini-gasbeden-siyonist-yerlesimciler-bir-filistinlinin-150-buyukbas-201005h.htm,filistin topraklarını gasbeden siyonist yerleşimciler bir filistinlinin 150 büyükbaş hayvanını çaldı,11,Other,2026-03
Batı Şeriada 2 Filistinli hayatını kaybetti,Turkey,2026-03-08 07:30:00,https://www.ensonhaber.com/gundem/bati-seriada-2-filistinli-hayatini-kaybetti,batı şeriada 2 filistinli hayatını kaybetti,6,Other,2026-03
"Kallas , Orta Doğudaki durumun  dikkatleri Gazze ve Batı Şeriadan uzaklaştırdığını  belirtti",Turkey,2026-03-16 19:00:00,http://www.haberler.com/guncel/ab-temsilcisi-kaja-kallas-ortadogu-daki-savas-gazze-ve-bati-seria-daki-durumu-golgede-birakiyor-19663610-haberi/,kallas orta doğudaki durumun dikkatleri gazze ve batı şeriadan uzaklaştırdığını belirtti,11,Other,2026-03
Batı Şeriada kanlı saldırı ! 2 Filistinli öldürüldü,Turkey,2026-03-08 09:45:00,https://www.radikal.com.tr/dunya/bati-seriada-kanli-saldiri-2-filistinli-olduruldu-27660/,batı şeriada kanlı saldırı 2 filistinli öldürüldü,7,Other,2026-03
Filistin topraklarını gasbeden İsrailli yerleşimciler Batı Şeriada bir Filistinliyi vurarak öldürdü,Turkey,2026-03-07 16:45:00,https://www.haberler.com/guncel/israilli-yerlesimcilerin-saldirisinda-bir-filistinli-hayatini-kaybetti-19634893-haberi/,filistin topraklarını gasbeden i srailli yerleşimciler batı şeriada bir filistinliyi vurarak öldürdü,12,Other,2026-03
"İsrail ordusu , işgal altındaki Batı Şeriada 2 Filistinliyi öldürdü",Turkey,2026-03-12 21:00:00,http://www.haberler.com/guncel/israil-ordusu-nablus-ta-2-filistinliyi-oldurdu-19652361-haberi/,i srail ordusu işgal altındaki batı şeriada 2 filistinliyi öldürdü,10,Other,2026-03
"İsrail ordusu , işgal altındaki Batı Şeriada 2 Filistinliyi öldürdü",Turkey,2026-03-12 21:15:00,https://www.haberler.com/guncel/israil-ordusu-nablus-ta-2-filistinliyi-oldurdu-19652361-haberi/,i srail ordusu işgal altındaki batı şeriada 2 filistinliyi öldürdü,10,Other,2026-03
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada bir Filistinliyi darp ederek yaraladı",Turkey,2026-03-13 20:45:00,https://www.haberler.com/guncel/israilli-yerlesimcilerden-filistinli-gence-saldiri-19655873-haberi/,filistin topraklarını gasbeden i srailliler batı şeriada bir filistinliyi darp ederek yaraladı,12,Other,2026-03
"İsrailin , Gazze Şeridine saldırılarında can kaybı 72 bin 239  a yükseldi",Turkey,2026-03-15 19:15:00,https://www.aa.com.tr/tr/dunya/israilin-gazze-seridine-saldirilarinda-can-kaybi-72-bin-239a-yukseldi/3865188,i srailin gazze şeridine saldırılarında can kaybı 72 bin 239 a yükseldi,12,Other,2026-03
Hollanda Başbakanı Jetten ile Filistin Başbakanı Mustafa telefonda görüştü,Turkey,2026-03-11 20:15:00,https://www.bursahakimiyet.com.tr/dunya/hollanda-basbakani-jetten-ile-filistin-basbakani-mustafa-telefonda-gorustu-1593941,hollanda başbakanı jetten ile filistin başbakanı mustafa telefonda görüştü,9,Other,2026-03
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada 2 kardeşi öldürdü 3 kişiyi yaraladı",Turkey,2026-03-02 13:15:00,https://www.haberler.com/guncel/israil-in-nablus-taki-saldirisinda-2-filistinli-kardes-hayatini-kaybetti-19616854-haberi/,filistin topraklarını gasbeden i srailliler batı şeriada 2 kardeşi öldürdü 3 kişiyi yaraladı,13,Other,2026-03
İsrailin Gazzede bir eve düzenlediği saldırıda 2  si çocuk 4 Filistinli hayatını kaybetti,Turkey,2026-03-15 10:00:00,https://www.aa.com.tr/tr/dunya/israilin-gazzede-bir-eve-duzenledigi-saldirida-2si-cocuk-4-filistinli-hayatini-kaybetti/3865188,i srailin gazzede bir eve düzenlediği saldırıda 2 si çocuk 4 filistinli hayatını kaybetti,14,Other,2026-03
"İsrailli bir grup , işgal altındaki Batı Şeriada Filistinlilere ait 500 dönüm alanı gasbetti",Turkey,2026-03-16 16:15:00,http://www.haberler.com/guncel/israil-in-bati-seria-daki-arazi-gasplari-devam-ediyor-19663335-haberi/,i srailli bir grup işgal altındaki batı şeriada filistinlilere ait 500 dönüm alanı gasbetti,14,Other,2026-03
ABden İsraile işgal altındaki topraklarda Filistinlilere yönelik saldırıları önleme çağrısı,Turkey,2026-03-10 21:15:00,https://www.bursahakimiyet.com.tr/dunya/ab-den-israil-e-isgal-altindaki-topraklarda-filistinlilere-yonelik-saldirilari-onleme-cagrisi-1593182,abden i sraile işgal altındaki topraklarda filistinlilere yönelik saldırıları önleme çağrısı,11,Other,2026-03
Filistin topraklarını gasbeden İsraillilerin saldırısında bir Filistinli hayatını kaybetti,Turkey,2026-03-14 18:30:00,http://www.haberler.com/guncel/filistin-topraklarini-gasbeden-israillilerin-19658346-haberi/,filistin topraklarını gasbeden i sraillilerin saldırısında bir filistinli hayatını kaybetti,10,Other,2026-03
"İsrail ordusu , işgal altındaki Batı Şeriada 2 Filistinliyi öldürdü",Turkey,2026-03-12 21:45:00,https://www.milliyet.com.tr/dunya/israil-ordusu-isgal-altindaki-bati-seriada-2-filistinliyi-oldurdu-7553563,i srail ordusu işgal altındaki batı şeriada 2 filistinliyi öldürdü,10,Other,2026-03
"İsrail ordusu , gece boyunca Gazze Şeridinin çeşitli bölgelerine saldırılar düzenledi",Turkey,2026-03-12 10:30:00,https://www.bursadabugun.com/haber/israil-ordusu-gece-boyunca-gazze-seridi-nin-cesitli-bolgelerine-saldirilar-duzenledi-1901169.html,i srail ordusu gece boyunca gazze şeridinin çeşitli bölgelerine saldırılar düzenledi,11,Other,2026-03
"İsrail askerlerinin , işgal altındaki Batı Şeriada açtığı ateş sonucu 6 Filistinli yaralandı",Turkey,2026-03-06 15:15:00,http://www.haberler.com/guncel/israil-in-bati-seria-daki-baskininda-6-yarali-19631592-haberi/,i srail askerlerinin işgal altındaki batı şeriada açtığı ateş sonucu 6 filistinli yaralandı,13,Other,2026-03
"İsrail ordusu , Batı Şeriadaki baskınlarda ikisi kadın 40 Filistinliyi gözaltına aldı",Turkey,2026-03-03 09:45:00,https://www.trthaber.com/haber/dunya/israil-ordusu-bati-seriadaki-baskinlarda-ikisi-kadin-40-filistinliyi-gozaltina-aldi-936298.html,i srail ordusu batı şeriadaki baskınlarda ikisi kadın 40 filistinliyi gözaltına aldı,12,Other,2026-03
"İsrail ordusu , Batı Şeriadaki baskınlarda ikisi kadın 40 Filistinliyi gözaltına aldı",Turkey,2026-03-03 09:15:00,https://www.haberler.com/guncel/israil-ordusu-bati-seria-da-40-filistinliyi-gozaltina-aldi-19619331-haberi/,i srail ordusu batı şeriadaki baskınlarda ikisi kadın 40 filistinliyi gözaltına aldı,12,Other,2026-03
الأردن دعمٌ لفلسطين .. حتى لا تُنسى,Israel,2026-03-04 23:00:00,https://www.addustour.com/articles/1552420-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D8%AF%D8%B9%D9%85%D9%8C-%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86-%D8%AD%D8%AA%D9%89-%D9%84%D8%A7-%D8%AA%D9%8F%D9%86%D8%B3%D9%89,الأردن دعم لفلسطين حتى لا ت نسى,7,Other,2026-03
Cisjordanie  : Cinq Palestiniens blessés dans une nouvelle attaque de colons,France,2026-03-14 13:30:00,https://www.20minutes.fr/monde/israel/4206163-20260314-cisjordanie-cinq-palestiniens-blesses-nouvelle-attaque-colons,cisjordanie cinq palestiniens blessés dans une nouvelle attaque de colons,10,Other,2026-03
"Filistin , Batı Şeriadaki İsrail saldırılarında 1 , 3 milyon dolar zarar oluştuğunu açıkladı",Turkey,2026-03-01 18:15:00,https://www.bursadabugun.com/haber/filistin-bati-seria-daki-israil-saldirilarinda-1-3-milyon-dolar-zarar-olustugunu-acikladi-1897174.html,filistin batı şeriadaki i srail saldırılarında 1 3 milyon dolar zarar oluştuğunu açıkladı,13,Other,2026-03
İsrailin Batı Şeriada açtığı ateş sonucu yaralanan Filistinli yaşamını yitirdi,Turkey,2026-03-01 09:15:00,https://www.haberler.com/guncel/israil-baskininda-bir-filistinli-hayatini-kaybetti-19613030-haberi/,i srailin batı şeriada açtığı ateş sonucu yaralanan filistinli yaşamını yitirdi,11,Other,2026-03
İsveç  te israilin Batı Şeriadaki ilhak planı protesto edildi,Turkey,2026-03-01 06:15:00,https://www.risalehaber.com/isvecte-israilin-bati-seriadaki-ilhak-plani-protesto-edildi-450972h.htm,i sveç te israilin batı şeriadaki ilhak planı protesto edildi,10,Protest / Activism,2026-03
  ABD - İsrail ile İran savaşının sonucu Batı Şeriayı ilhak sürecinde önemli bir faktör  ,Turkey,2026-03-06 15:00:00,https://www.haksozhaber.net/abd-israil-ile-iran-savasinin-sonucu-bati-seriayi-ilhak-surecinde-onemli-bir-faktor-200998h.htm,abd i srail ile i ran savaşının sonucu batı şeriayı ilhak sürecinde önemli bir faktör,15,Other,2026-03
Hem işgal ettiler hem katlettiler ! ,Turkey,2026-03-08 08:45:00,https://dogruhaber.com.tr/hem-isgal-ettiler-hem-katlettiler,hem işgal ettiler hem katlettiler,5,Other,2026-03
İsrail askerleri Batı Şeriaya düzenlediği baskında 2 kişiyi gözaltına aldı,Turkey,2026-03-07 10:30:00,http://www.haberler.com/guncel/israil-ordusu-nablus-ta-baskin-duzenledi-19633720-haberi/,i srail askerleri batı şeriaya düzenlediği baskında 2 kişiyi gözaltına aldı,11,Other,2026-03
Deux tués par balle et un troisième asphyxié ... Trois Palestiniens tués dans une attaque de colons israéliens en Cisjordanie occupée,France,2026-03-08 13:45:00,https://www.humanite.fr/monde/cisjordanie/deux-tues-par-balle-et-un-troisieme-asphyxie-trois-palestiniens-tues-dans-une-attaque-de-colons-israeliens-en-cisjordanie-occupee,deux tués par balle et un troisième asphyxié trois palestiniens tués dans une attaque de colons israéliens en cisjordanie occupée,20,Other,2026-03
"İşgalci İsrail , Batı Şeriada ikisi kadın 40 Filistinliyi gözaltına aldı",Turkey,2026-03-03 12:00:00,https://www.haksozhaber.net/isgalci-israil-bati-seriada-ikisi-kadin-40-filistinliyi-gozaltina-aldi-200848h.htm,i şgalci i srail batı şeriada ikisi kadın 40 filistinliyi gözaltına aldı,12,Other,2026-03
"İspanya , Batı Şeriadaki saldırıları sebebiyle İsraili sert bir dille kınadı",Turkey,2026-03-15 20:30:00,https://www.haberler.com/guncel/ispanya-israil-in-bati-seria-ya-yonelik-saldirilarini-sert-bir-dille-kinadi-19661166-haberi/,i spanya batı şeriadaki saldırıları sebebiyle i sraili sert bir dille kınadı,12,Other,2026-03
İspanyadan İsraile son dakika Filistin resti !  Kabul edilemez  deyip ilan ettiler,Turkey,2026-03-15 21:15:00,https://www.haber7.com/dunya/haber/3612309-ispanyadan-israile-son-dakika-filistin-resti-kabul-edilemez-deyip-ilan-ettiler,i spanyadan i sraile son dakika filistin resti kabul edilemez deyip ilan ettiler,13,Other,2026-03
İsrail ordusu Batı Şeriada biri çocuk 19 Filistinliyi gözaltına aldı,Turkey,2026-03-12 09:45:00,http://www.haberler.com/guncel/israil-ordusu-bati-seria-da-biri-cocuk-19-19649955-haberi/,i srail ordusu batı şeriada biri çocuk 19 filistinliyi gözaltına aldı,11,Other,2026-03
"İngilterede 60  tan fazla milletvekili , İsraile yaptırım çağrısı yapan önergeye destek verdi",Turkey,2026-03-11 16:45:00,https://www.haberler.com/guncel/ingiltere-parlamentosu-ndan-israil-e-yaptirim-cagrisi-19647962-haberi/,i ngilterede 60 tan fazla milletvekili i sraile yaptırım çağrısı yapan önergeye destek verdi,14,Other,2026-03
"İşgalci İsrail , Batı Şeriada 26 Filistinliyi gözaltına aldı",Turkey,2026-03-15 11:00:00,https://www.trthaber.com/haber/dunya/isgalci-israil-bati-seriada-26-filistinliyi-gozaltina-aldi-937855.html,i şgalci i srail batı şeriada 26 filistinliyi gözaltına aldı,10,Other,2026-03
"İsrail , İrana saldırıların ardından Batı Şeriada 165 Filistinliyi gözaltına aldı",Turkey,2026-03-04 14:00:00,https://www.haberler.com/guncel/israil-ordusu-bati-seria-da-165-filistinliyi-gozaltina-aldi-19623930-haberi/,i srail i rana saldırıların ardından batı şeriada 165 filistinliyi gözaltına aldı,12,Other,2026-03
"İngilterede 60  tan fazla milletvekili , İsraile yaptırım çağrısı yapan önergeye destek verdi",Turkey,2026-03-11 16:15:00,https://www.aa.com.tr/tr/dunya/ingilterede-60tan-fazla-milletvekili-israile-yaptirim-cagrisi-yapan-onergeye-destek-verdi/3860126,i ngilterede 60 tan fazla milletvekili i sraile yaptırım çağrısı yapan önergeye destek verdi,14,Other,2026-03
"İsrail ordusu , Batı Şeriada düzenlediği baskınlarda 26 Filistinliyi gözaltına aldı",Turkey,2026-03-15 10:30:00,http://www.haberler.com/guncel/israil-ordusu-bati-seria-da-26-filistinliyi-gozaltina-aldi-19659768-haberi/,i srail ordusu batı şeriada düzenlediği baskınlarda 26 filistinliyi gözaltına aldı,11,Other,2026-03
"İspanya , İsraili sert bir dille kınadı",Turkey,2026-03-16 13:00:00,https://www.yeniasya.com.tr/dunya/ispanya-israil-i-sert-bir-dille-kinadi_620553,i spanya i sraili sert bir dille kınadı,8,Other,2026-03
بنك فلسطين وجمعية عطاء فلسطين يوزعان وجبات إفطار للأسر المتضررة في غزة ضمن حملة  رمضان يجمعنا بالحب والعطاء  – تلفزيون الفجر,Israel,2026-03-15 20:30:00,https://alfajertv.com/news/palnews/722810.html,بنك فلسطين وجمعية عطاء فلسطين يوزعان وجبات إفطار للأسر المتضررة في غزة ضمن حملة رمضان يجمعنا بالحب والعطاء تلفزيون الفجر,20,Other,2026-03
İsrail ordusu işgal altındaki Batı Şeriada 5 Filistinliyi yaraladı,Turkey,2026-03-04 22:30:00,http://www.haberler.com/guncel/israil-ordusu-bati-seria-da-baskin-duzenledi-5-yarali-19625535-haberi/,i srail ordusu işgal altındaki batı şeriada 5 filistinliyi yaraladı,10,Other,2026-03
PCBS says Consumer Price Index ( CPI ) slightly increased in Gaza and the West Bank,Israel,2026-03-12 09:45:00,https://english.wafa.ps/Pages/Details/168255,pcbs says consumer price index cpi slightly increased in gaza and the west bank,14,Other,2026-03
İspanyadan İsraile sert tepki ! ,Turkey,2026-03-15 21:00:00,https://www.kocaeligazetesi.com.tr/haber/27637853/ispanyadan-israile-sert-tepki,i spanyadan i sraile sert tepki,6,Other,2026-03
Forty nations meet in The Hague to discuss measures against Israel West Bank annexation,Israel,2026-03-04 17:15:00,https://www.middleeasteye.net/news/forty-nations-convene-hague-discuss-measures-against-israels-annexation-west-bank,forty nations meet in the hague to discuss measures against israel west bank annexation,14,Other,2026-03
BM : Gazzeye son iki günde  neredeyse tüm insani yardım hareketleri engellendi  ,Turkey,2026-03-13 18:30:00,http://www.haberler.com/guncel/bm-israil-gazze-ye-insani-yardimlari-engelliyor-19655496-haberi/,bm gazzeye son iki günde neredeyse tüm insani yardım hareketleri engellendi,11,Other,2026-03
Arap ülkelerinden son dakika İsrail bildirisi ! Tüm dünyaya kritik mesaj,Turkey,2026-03-15 18:30:00,https://www.haber7.com/dunya/haber/3612277-arap-ulkelerinden-son-dakika-israil-bildirisi-tum-dunyaya-kritik-mesaj,arap ülkelerinden son dakika i srail bildirisi tüm dünyaya kritik mesaj,11,Other,2026-03
بنك فلسطين وجمعية عطاء فلسطين يوزعان وجبات إفطار للأسر المتضررة في غزة ضمن حملة  رمضان يجمعنا بالحب والعطاء  ,Israel,2026-03-15 15:45:00,https://pnn.ps/news/720688,بنك فلسطين وجمعية عطاء فلسطين يوزعان وجبات إفطار للأسر المتضررة في غزة ضمن حملة رمضان يجمعنا بالحب والعطاء,18,Other,2026-03
Gazzenin Tarihsel Arka Planı ve 7 Ekime Giden Süreç - Dr . Bilal TANRIVERDİ,Turkey,2026-03-03 07:15:00,https://www.risalehaber.com/bilal-tanriverdi-gazzenin-tarihsel-arka-plani-ve-7-ekime-giden-surec-28702yy.htm,gazzenin tarihsel arka planı ve 7 ekime giden süreç dr bilal tanriverdi,12,Other,2026-03
BM açıkladı : Gazzede tüm insani yardım hareketleri engellendi,Turkey,2026-03-13 21:15:00,https://dogruhaber.com.tr/bm-acikladi-gazzede-tum-insani-yardim-hareketleri-engellendi,bm açıkladı gazzede tüm insani yardım hareketleri engellendi,8,Other,2026-03
  Suudi Arabistan ve Katar  ı bombalamayı planlayan Mossad ajanları tutuklandı  ,Turkey,2026-03-03 13:00:00,https://www.timeturk.com/ceviri/suudi-arabistan-ve-katar-i-bombalamayi-planlayan-mossad-ajanlari-tutuklandi-haber-1829410,suudi arabistan ve katar ı bombalamayı planlayan mossad ajanları tutuklandı,10,Conflict / Attack,2026-03
BM : Gazzede 2 günde tüm insani yardım hareketler engellendi,Turkey,2026-03-13 22:30:00,https://www.haksozhaber.net/bm-gazzede-2-gunde-tum-insani-yardim-hareketler-engellendi-201327h.htm,bm gazzede 2 günde tüm insani yardım hareketler engellendi,9,Other,2026-03
İsrail askerlerinin Gazzede açtığı ateş sonucu bir Filistinli hayatını kaybetti,Turkey,2026-03-06 13:45:00,https://www.aa.com.tr/tr/dunya/israil-askerlerinin-gazzede-actigi-ates-sonucu-bir-filistinli-hayatini-kaybetti/3852830,i srail askerlerinin gazzede açtığı ateş sonucu bir filistinli hayatını kaybetti,11,Other,2026-03
"İsrail ordusu , Batı Şeriada düzenlediği baskınlarda biri kadın 24 Filistinliyi gözaltına aldı",Turkey,2026-03-01 09:45:00,https://www.bursadabugun.com/haber/israil-ordusu-bati-seria-da-duzenledigi-baskinlarda-biri-kadin-24-filistinliyi-gozaltina-aldi-1897028.html,i srail ordusu batı şeriada düzenlediği baskınlarda biri kadın 24 filistinliyi gözaltına aldı,13,Other,2026-03
השעיית החייל : בלבול ערכי מסוכן,Israel,2026-03-08 22:15:00,https://www.inn.co.il/news/691732,השעיית החייל בלבול ערכי מסוכן,5,Other,2026-03
Palestinian leader and Pope talk of  alarming developments  ,United States,2026-03-16 17:30:00,https://aleteia.org/2026/03/16/palestinian-leader-calls-pope-leo-talk-of-alarming-developments/,palestinian leader and pope talk of alarming developments,8,Other,2026-03
"Weekly Briefing : Trump and Netanyahu miscalculated , and now theyre going to find out – Mondoweiss",Israel,2026-03-15 16:30:00,https://mondoweiss.net/2026/03/weekly-briefing-trump-and-netanyahu-miscalculated-and-now-theyre-going-to-find-out/,weekly briefing trump and netanyahu miscalculated and now theyre going to find out mondoweiss,14,Politics / Election,2026-03
إصابة 6 فلسطينيين خلال اقتحامات إسرائيلية بالضفة الغربية,Israel,2026-03-12 06:15:00,http://zamnpress.com/news/140605,إصابة 6 فلسطينيين خلال اقتحامات إسرائيلية بالضفة الغربية,8,Other,2026-03
"Iran war shifts Middle East dynamics , leaving Palestinian issues sidelined",United States,2026-03-12 17:00:00,https://www.yahoo.com/news/articles/iran-war-shifts-middle-east-223414256.html,iran war shifts middle east dynamics leaving palestinian issues sidelined,10,Conflict / Attack,2026-03
"Les assaillants ont fait usage darmes à feu , darmes blanches et de pierres : cinq Palestiniens blessés par des colons israéliens en Cisjordanie",France,2026-03-14 14:45:00,https://www.bfmtv.com/international/moyen-orient/palestine/les-assaillants-ont-fait-usage-d-armes-a-feu-d-armes-blanches-et-de-pierres-cinq-palestiniens-blesses-par-des-colons-israeliens-en-cisjordanie_AD-202603140236.html,les assaillants ont fait usage darmes à feu darmes blanches et de pierres cinq palestiniens blessés par des colons israéliens en cisjordanie,22,Other,2026-03
"İsrail , bir Filistinlinin evini patlayıcılarla hedef aldı",Turkey,2026-03-14 18:15:00,https://www.ensonhaber.com/dunya/israil-bir-filistinlinin-evini-patlayicilarla-yikti,i srail bir filistinlinin evini patlayıcılarla hedef aldı,8,Other,2026-03
BM : Filistin topraklarında yardım görevlileri ve siviller hala bombardıman ve ateş altında,Turkey,2026-03-07 14:45:00,https://www.haksozhaber.net/bm-filistin-topraklarinda-yardim-gorevlileri-ve-siviller-hala-bombardiman-ve-ates-al-201050h.htm,bm filistin topraklarında yardım görevlileri ve siviller hala bombardıman ve ateş altında,12,Conflict / Attack,2026-03
הבעיה הפלסטינית תתפוצץ אחרי המלחמה עם איראן | דניאל פרידמן,Israel,2026-03-07 21:30:00,https://www.maariv.co.il/news/opinions/article-1292501,הבעיה הפלסטינית תתפוצץ אחרי המלחמה עם איראן דניאל פרידמן,9,Other,2026-03
إسرائيل على حافة الهاوية,Israel,2026-03-14 19:45:00,https://alghad.com/Section-171/%D8%AA%D8%B1%D8%AC%D9%85%D8%A7%D8%AA/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%AD%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D9%87%D8%A7%D9%88%D9%8A%D8%A9-2067706,إسرائيل على حافة الهاوية,4,Other,2026-03
BM : Filistin topraklarında yardım görevlileri ve siviller hala bombardıman ve ateş altında,Turkey,2026-03-06 21:15:00,https://www.aa.com.tr/tr/dunya/bm-filistin-topraklarinda-yardim-gorevlileri-ve-siviller-hala-bombardiman-ve-ates-altinda/3853354,bm filistin topraklarında yardım görevlileri ve siviller hala bombardıman ve ateş altında,12,Conflict / Attack,2026-03
Dismayed by USM cancellation of Palestine conference,United States,2026-03-07 22:15:00,https://www.pressherald.com/2026/03/07/dismayed-by-usm-cancellation-of-palestine-conference-letter/,dismayed by usm cancellation of palestine conference,7,Other,2026-03
İsveç  te İsrailin işgal altındaki Batı Şeriayı ilhak etme kararı protesto edildi,Turkey,2026-03-07 15:45:00,https://www.aa.com.tr/tr/dunya/isvecte-israilin-isgal-altindaki-bati-seriayi-ilhak-etme-karari-protesto-edildi/3854099,i sveç te i srailin işgal altındaki batı şeriayı ilhak etme kararı protesto edildi,14,Protest / Activism,2026-03
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada Filistinlileri darbetti hayvanlarını çaldı - Yeni Meram - Konya Haberleri",Turkey,2026-03-13 16:30:00,https://www.yenimeram.com.tr/filistin-topraklarini-gasbeden-israilliler-bati-seriada-filistinlileri-darbetti-hayvanlarini-caldi.htm,filistin topraklarını gasbeden i srailliler batı şeriada filistinlileri darbetti hayvanlarını çaldı yeni meram konya haberleri,15,Other,2026-03
Health Minister discusses strengthening cooperation with WHO representative,Israel,2026-03-10 00:00:00,https://english.wafa.ps/Pages/Details/168155,health minister discusses strengthening cooperation with who representative,8,Politics / Election,2026-03
Dismayed by USM cancellation of Palestine conference,United States,2026-03-07 21:45:00,https://www.centralmaine.com/2026/03/07/dismayed-by-usm-cancellation-of-palestine-conference-letter/,dismayed by usm cancellation of palestine conference,7,Other,2026-03
OPINION - Trump Gaza Plan : A blueprint for entrenching colonial power,Turkey,2026-03-02 14:00:00,https://www.aa.com.tr/en/opinion/opinion-trumps-gaza-plan-a-blueprint-for-entrenching-colonial-power/3842044,opinion trump gaza plan a blueprint for entrenching colonial power,10,Politics / Election,2026-03
"Mohammed , 5 ans , est interdit de soins en Israël :  Empêcher un enfant daccéder à des soins vitaux revient à une condamnation à mort  ",France,2026-03-16 07:00:00,https://www.nouvelobs.com/monde/20260316.OBS113233/mohammed-5-ans-est-interdit-de-soins-en-israel-empecher-un-enfant-d-acceder-a-des-soins-vitaux-revient-a-une-condamnation-a-mort.html,mohammed 5 ans est interdit de soins en israël empêcher un enfant daccéder à des soins vitaux revient à une condamnation à mort,23,Other,2026-03
Who Will Govern Gaza ? | Council on Foreign Relations,United States,2026-03-13 21:45:00,https://www.cfr.org/articles/who-will-govern-gaza,who will govern gaza council on foreign relations,8,Other,2026-03
"4 children , pregnant woman dead as Israel kills 8 in W . Bank , Gaza",Turkey,2026-03-15 14:30:00,https://www.dailysabah.com/world/mid-east/4-children-pregnant-woman-dead-as-israel-kills-8-in-w-bank-gaza,4 children pregnant woman dead as israel kills 8 in w bank gaza,13,Conflict / Attack,2026-03
